Sl,Time,Lat,Long,CP
1,0,17.4,88.9,934
2,0.5,17.48,88.94,932.83
3,1,17.56,88.98,931.67
4,1.5,17.64,89.02,930.5
5,2,17.71,89.05,929.33
6,2.5,17.79,89.09,928.17
7,3,17.87,89.13,927
8,3.5,17.96,89.18,925.83
9,4,18.05,89.22,924.67
10,4.5,18.14,89.27,923.5
11,5,18.22,89.31,922.33
12,5.5,18.31,89.36,921.17
13,6,18.4,89.4,920
14,6.5,18.51,89.46,920.17
15,7,18.62,89.52,920.33
16,7.5,18.73,89.58,920.5
17,8,18.84,89.64,920.67
18,8.5,18.95,89.7,920.83
19,9,19.06,89.76,921
20,9.5,19.17,89.83,921.17
21,10,19.27,89.89,921.33
22,10.5,19.38,89.96,921.5
23,11,19.49,90.02,921.67
24,11.5,19.59,90.09,921.83
25,12,19.7,90.15,922
26,12.5,19.77,90.2,921.67
27,13,19.84,90.26,921.33
28,13.5,19.91,90.31,921
29,14,19.98,90.37,920.67
30,14.5,20.05,90.42,920.33
31,15,20.12,90.46,920
32,15.5,20.19,90.52,919.67
33,16,20.26,90.57,919.33
34,16.5,20.34,90.63,919
35,17,20.41,90.69,918.67
36,17.5,20.48,90.74,918.33
37,18,20.55,90.8,918
38,18.5,20.66,90.87,918.17
39,19,20.77,90.94,918.33
40,19.5,20.88,91.02,918.5
41,20,20.98,91.09,918.67
42,20.5,21.09,91.16,918.83
43,21,21.2,91.23,919
44,21.5,21.33,91.32,919.17
45,22,21.45,91.4,919.33
46,22.5,21.58,91.49,919.5
47,23,21.7,91.58,919.67
48,23.5,21.83,91.66,919.83
49,24,21.95,91.75,920
50,24.5,22.08,91.85,926.17
51,25,22.2,91.95,932.33
52,25.5,22.33,92.05,938.5
53,26,22.45,92.14,944.67
54,26.5,22.58,92.24,950.83
55,27,22.7,92.34,957
56,27.5,22.82,92.46,963.17
57,28,22.94,92.58,969.33
58,28.5,23.06,92.71,975.5
59,29,23.17,92.83,981.67
60,29.5,23.29,92.95,987.83
61,30,23.41,93.07,994
62,30.5,23.51,93.22,994.17
63,31,23.61,93.36,994.33
64,31.5,23.72,93.51,994.5
65,32,23.82,93.65,994.67
66,32.5,23.92,93.8,994.83
67,33,24.02,93.94,995
68,33.5,24.09,94.11,995.17
69,34,24.17,94.27,995.33
70,34.5,24.24,94.44,995.5
71,35,24.31,94.61,995.67
72,35.5,24.39,94.77,995.83
73,36,24.46,94.94,996