id,x,y,LAYER,type
1,91.85855244,22.38543277,Electric_Pole,PW
2,91.85962969,22.38625704,Electric_Pole,PW
3,91.88331532,22.39803092,Electric_Pole,PS
4,91.88596695,22.39831345,Electric_Pole,PW
5,91.86851805,22.39425331,Electric_Pole,PW
6,91.86426992,22.39190805,Electric_Pole,PS
7,91.86861869,22.39494131,Electric_Pole,PW
8,91.87255349,22.39519142,Electric_Pole,PW
9,91.86774436,22.40205901,Electric_Pole,PS
10,91.83337721,22.37119105,Electric_Pole,PW
11,91.83780558,22.368347,Electric_Pole,PW
61,91.85450491,22.33696125,Electric_Pole,PW
62,91.85275386,22.33664124,Electric_Pole,PW
63,91.85041198,22.33520033,Electric_Pole,PS
64,91.84662692,22.33407599,Electric_Pole,PW
65,91.84698355,22.33038733,Electric_Pole,PW
66,91.84626264,22.33057322,Electric_Pole,PS
67,91.84021087,22.33426049,Electric_Pole,PW
68,91.84972495,22.33122279,Electric_Pole,PW
69,91.85312942,22.34232089,Electric_Pole,PS
70,91.82325826,22.34269069,Electric_Pole,PW
71,91.82830457,22.33978988,Electric_Pole,PW
72,91.81373665,22.33843057,Electric_Pole,PS
73,91.82240855,22.33702842,Electric_Pole,PW
74,91.82285766,22.33997546,Electric_Pole,PW
75,91.82274416,22.34002307,Electric_Pole,PS
76,91.82012485,22.33473915,Electric_Pole,PW
77,91.82496665,22.33610874,Electric_Pole,PW
78,91.8297745,22.33544818,Electric_Pole,PS
79,91.83383501,22.34398058,Electric_Pole,PW
80,91.83040849,22.34193996,Electric_Pole,PW
81,91.83365321,22.33871598,Electric_Pole,PS
82,91.83151351,22.33720074,Electric_Pole,PW
83,91.81699319,22.45725148,Electric_Pole,PW
84,91.81663786,22.46122501,Electric_Pole,PS
85,91.81659653,22.46515382,Electric_Pole,PW
86,91.81630591,22.46682934,Electric_Pole,PW
87,91.88741719,22.4032368,Electric_Pole,PS
88,91.81900985,22.41628006,Electric_Pole,PW
89,91.81923798,22.41577391,Electric_Pole,PW
90,91.81992544,22.42070577,Electric_Pole,PS
91,91.81954523,22.41908868,Electric_Pole,PW
92,91.81997872,22.42155774,Electric_Pole,PW
93,91.81976401,22.42322741,Electric_Pole,PS
94,91.81944584,22.42549472,Electric_Pole,PW
95,91.88288286,22.40860339,Electric_Pole,PW
96,91.87925527,22.40355147,Electric_Pole,PS
97,91.88200043,22.40603294,Electric_Pole,PW
98,91.87901808,22.40470732,Electric_Pole,PW
99,91.87737866,22.40384833,Electric_Pole,PS
100,91.87666271,22.40383825,Electric_Pole,PW
101,91.88276806,22.40287639,Electric_Pole,PW
102,91.83345255,22.3990581,Electric_Pole,PS
156,91.8118834,22.37852803,Electric_Pole,PS
157,91.82936863,22.38169771,Electric_Pole,PW
158,91.81084275,22.38288419,Electric_Pole,PW
159,91.8105028,22.38996896,Electric_Pole,PS
160,91.81072146,22.38680039,Electric_Pole,PW
161,91.82520594,22.3863755,Electric_Pole,PW
162,91.81128715,22.39117865,Electric_Pole,PS
163,91.82510613,22.38687888,Electric_Pole,PW
164,91.82369706,22.39079756,Electric_Pole,PW
165,91.83003438,22.34851943,Electric_Pole,PS
166,91.82548928,22.34741081,Electric_Pole,PW
167,91.82790449,22.35417435,Electric_Pole,PW
168,91.82827757,22.36063294,Electric_Pole,PS
169,91.8283044,22.3608729,Electric_Pole,PW
170,91.82595433,22.3587768,Electric_Pole,PW
171,91.82563684,22.35867051,Electric_Pole,PS
172,91.82188012,22.35142124,Electric_Pole,PW
173,91.82155761,22.35933801,Electric_Pole,PW
174,91.81944386,22.36812928,Electric_Pole,PS
175,91.82248347,22.36657597,Electric_Pole,PW
176,91.82267511,22.36643725,Electric_Pole,PW
177,91.82470963,22.36720512,Electric_Pole,PS
178,91.8244235,22.36709958,Electric_Pole,PW
179,91.83464501,22.36335271,Electric_Pole,PW
180,91.83306881,22.36920952,Electric_Pole,PS
181,91.82828545,22.3683094,Electric_Pole,PW
182,91.83047756,22.36333288,Electric_Pole,PW
183,91.83340236,22.34801162,Electric_Pole,PS
184,91.82309079,22.34656302,Electric_Pole,PW
185,91.82487396,22.34955389,Electric_Pole,PW
186,91.82914512,22.25244057,Electric_Pole,PS
187,91.79106635,22.27962829,Electric_Pole,PW
188,91.78893133,22.27938072,Electric_Pole,PW
189,91.78381739,22.2803351,Electric_Pole,PS
190,91.78080187,22.27950251,Electric_Pole,PW
191,91.78554492,22.27832502,Electric_Pole,PW
192,91.78490853,22.28051314,Electric_Pole,PS
193,91.78227257,22.27774285,Electric_Pole,PW
194,91.78217564,22.27878741,Electric_Pole,PW
195,91.78223648,22.27959421,Electric_Pole,PS
196,91.78041162,22.27901065,Electric_Pole,PW
197,91.79680985,22.26970255,Electric_Pole,PW
198,91.79172771,22.2701657,Electric_Pole,PS
199,91.79940506,22.27712534,Electric_Pole,PW
200,91.77814383,22.276636,Electric_Pole,PW
201,91.77413397,22.27835469,Electric_Pole,PS
202,91.77717133,22.27703654,Electric_Pole,PW
203,91.77482683,22.27698706,Electric_Pole,PW
204,91.77747876,22.27850439,Electric_Pole,PS
205,91.77807656,22.2789655,Electric_Pole,PW
206,91.77834697,22.27420534,Electric_Pole,PW
207,91.83099826,22.25875975,Electric_Pole,PS
208,91.83100938,22.26124509,Electric_Pole,PW
209,91.78752846,22.25215736,Electric_Pole,PW
210,91.79342764,22.23613786,Electric_Pole,PS
211,91.78709763,22.26770856,Electric_Pole,PW
212,91.81025714,22.27073715,Electric_Pole,PW
213,91.78757116,22.27133479,Electric_Pole,PS
214,91.80635957,22.27244049,Electric_Pole,PW
215,91.78730717,22.2721829,Electric_Pole,PW
216,91.82883956,22.25707058,Electric_Pole,PS
217,91.83109609,22.25694684,Electric_Pole,PW
218,91.82882968,22.25887659,Electric_Pole,PW
219,91.82862045,22.26114379,Electric_Pole,PS
220,91.78013694,22.26870223,Electric_Pole,PW
221,91.77843183,22.26857757,Electric_Pole,PW
222,91.77981154,22.2641707,Electric_Pole,PS
223,91.77924367,22.26674993,Electric_Pole,PW
224,91.780524,22.2686924,Electric_Pole,PW
225,91.78349128,22.26764702,Electric_Pole,PS
226,91.78403814,22.26863206,Electric_Pole,PW
227,91.79593059,22.2603376,Electric_Pole,PW
228,91.80525884,22.25800481,Electric_Pole,PS
229,91.80538294,22.25758779,Electric_Pole,PW
230,91.80752462,22.26137506,Electric_Pole,PW
231,91.80754049,22.26031231,Electric_Pole,PS
232,91.80948761,22.2598076,Electric_Pole,PW
233,91.80909613,22.25765294,Electric_Pole,PW
234,91.80771523,22.2575884,Electric_Pole,PS
235,91.81042897,22.26485877,Electric_Pole,PW
236,91.80584875,22.25446496,Electric_Pole,PW
237,91.80751682,22.25451303,Electric_Pole,PS
238,91.80422589,22.25944718,Electric_Pole,PW
239,91.80049973,22.25950769,Electric_Pole,PW
240,91.79817862,22.25991652,Electric_Pole,PS
241,91.79852195,22.26453884,Electric_Pole,PW
242,91.80327153,22.25450922,Electric_Pole,PW
243,91.7901089,22.26426961,Electric_Pole,PS
244,91.79274303,22.25704664,Electric_Pole,PW
245,91.79170996,22.25979798,Electric_Pole,PW
246,91.81061127,22.24262667,Electric_Pole,PS
247,91.80960825,22.23984131,Electric_Pole,PW
248,91.80826092,22.24129707,Electric_Pole,PW
249,91.80833662,22.25203454,Electric_Pole,PS
250,91.80545103,22.25157213,Electric_Pole,PW
251,91.80979476,22.252917,Electric_Pole,PW
252,91.80984665,22.25416358,Electric_Pole,PS
253,91.80419004,22.23806169,Electric_Pole,PW
254,91.8035536,22.25341579,Electric_Pole,PW
255,91.80255822,22.25127962,Electric_Pole,PS
256,91.80073352,22.25095809,Electric_Pole,PW
257,91.80255997,22.25318121,Electric_Pole,PW
258,91.79781071,22.25395411,Electric_Pole,PS
259,91.80111842,22.25388106,Electric_Pole,PW
260,91.79092332,22.25150723,Electric_Pole,PW
261,91.79221228,22.24253809,Electric_Pole,PS
262,91.79425481,22.23911461,Electric_Pole,PW
263,91.79713285,22.24308998,Electric_Pole,PW
264,91.79919956,22.24401431,Electric_Pole,PS
265,91.80099333,22.24289798,Electric_Pole,PW
266,91.79647327,22.24571134,Electric_Pole,PW
267,91.79414151,22.25277628,Electric_Pole,PS
268,91.79521381,22.2495375,Electric_Pole,PW
269,91.81157179,22.25874021,Electric_Pole,PW
270,91.8117357,22.23794681,Electric_Pole,PS
271,91.81174255,22.24088353,Electric_Pole,PW
272,91.81200684,22.23983519,Electric_Pole,PW
273,91.8209268,22.24803146,Electric_Pole,PS
274,91.81879866,22.24788035,Electric_Pole,PW
275,91.81805731,22.250234,Electric_Pole,PW
276,91.82065918,22.25207248,Electric_Pole,PS
277,91.81678567,22.24006615,Electric_Pole,PW
278,91.81812297,22.24049706,Electric_Pole,PW
279,91.81914395,22.24622591,Electric_Pole,PS
280,91.82004674,22.24256936,Electric_Pole,PW
281,91.82298182,22.24625392,Electric_Pole,PW
282,91.82454954,22.24828432,Electric_Pole,PS
283,91.82670391,22.25130896,Electric_Pole,PW
284,91.8070213,22.23257087,Electric_Pole,PW
285,91.79639634,22.23426459,Electric_Pole,PS
286,91.79879358,22.23273031,Electric_Pole,PW
287,91.80374105,22.2304594,Electric_Pole,PW
288,91.78940428,22.25136334,Electric_Pole,PS
289,91.79647178,22.23450709,Electric_Pole,PW
290,91.79870086,22.23624756,Electric_Pole,PW
291,91.79774204,22.23721068,Electric_Pole,PS
292,91.79246772,22.2347938,Electric_Pole,PW
293,91.79237488,22.23489551,Electric_Pole,PW
294,91.78042891,22.26649714,Electric_Pole,PS
295,91.78671061,22.25836317,Electric_Pole,PW
296,91.78367018,22.25806979,Electric_Pole,PW
297,91.78742855,22.24700716,Electric_Pole,PS
298,91.82354081,22.26754238,Electric_Pole,PW
299,91.8203398,22.26659998,Electric_Pole,PW
300,91.78600749,22.24871866,Electric_Pole,PS
301,91.78833779,22.26916103,Electric_Pole,PW
302,91.81577061,22.26740267,Electric_Pole,PW
303,91.81431994,22.26946885,Electric_Pole,PS
304,91.81437109,22.23758391,Electric_Pole,PW
305,91.82813432,22.26455893,Electric_Pole,PW
306,91.82757907,22.25263827,Electric_Pole,PS
307,91.81158595,22.27025836,Electric_Pole,PW
308,91.7889143,22.33177446,Electric_Pole,PW
309,91.78906239,22.3329459,Electric_Pole,PS
310,91.78446321,22.32584747,Electric_Pole,PW
311,91.78446245,22.32884066,Electric_Pole,PW
312,91.78249154,22.32985194,Electric_Pole,PS
313,91.78429918,22.31713764,Electric_Pole,PW
314,91.78690047,22.31492796,Electric_Pole,PW
315,91.78557793,22.31488378,Electric_Pole,PS
316,91.78757431,22.31559306,Electric_Pole,PW
317,91.78901836,22.32916949,Electric_Pole,PW
318,91.79430704,22.3322167,Electric_Pole,PS
319,91.79214174,22.33188241,Electric_Pole,PW
320,91.79256889,22.33281776,Electric_Pole,PW
321,91.80055513,22.32954484,Electric_Pole,PS
322,91.79737901,22.32977248,Electric_Pole,PW
323,91.79387899,22.32944094,Electric_Pole,PW
324,91.79635006,22.32792851,Electric_Pole,PS
325,91.78785472,22.32812872,Electric_Pole,PW
326,91.78950368,22.32787655,Electric_Pole,PW
327,91.799149,22.31733977,Electric_Pole,PS
328,91.78791298,22.32714519,Electric_Pole,PW
329,91.7916623,22.32485448,Electric_Pole,PW
330,91.77642251,22.32712957,Electric_Pole,PS
331,91.77879519,22.32406313,Electric_Pole,PW
332,91.77731196,22.32535893,Electric_Pole,PW
333,91.78063861,22.32466469,Electric_Pole,PS
334,91.78093649,22.3198569,Electric_Pole,PW
335,91.78946297,22.31419547,Electric_Pole,PW
336,91.78917823,22.31189851,Electric_Pole,PS
337,91.78931628,22.31285817,Electric_Pole,PW
338,91.78959462,22.29146334,Electric_Pole,PW
339,91.78124902,22.28777682,Electric_Pole,PS
340,91.78166405,22.28631472,Electric_Pole,PW
341,91.82914512,22.25244057,Electric_Pole,PW
342,91.79106635,22.27962829,Electric_Pole,PS
343,91.78893133,22.27938072,Electric_Pole,PW
344,91.78717905,22.29103284,Electric_Pole,PW
345,91.78536945,22.29074157,Electric_Pole,PS
346,91.78322715,22.28939432,Electric_Pole,PW
347,91.78421642,22.2865847,Electric_Pole,PW
348,91.7795903,22.2884562,Electric_Pole,PS
349,91.78381739,22.2803351,Electric_Pole,PW
350,91.78080187,22.27950251,Electric_Pole,PW
351,91.78554492,22.27832502,Electric_Pole,PS
352,91.78490853,22.28051314,Electric_Pole,PW
353,91.78227257,22.27774285,Electric_Pole,PW
354,91.78217564,22.27878741,Electric_Pole,PS
355,91.78223648,22.27959421,Electric_Pole,PW
356,91.78041162,22.27901065,Electric_Pole,PW
357,91.79680985,22.26970255,Electric_Pole,PS
358,91.79172771,22.2701657,Electric_Pole,PW
359,91.78260278,22.29125406,Electric_Pole,PW
360,91.7796981,22.29318146,Electric_Pole,PS
361,91.78220666,22.29344054,Electric_Pole,PW
362,91.79404665,22.30640392,Electric_Pole,PW
363,91.79561848,22.30823929,Electric_Pole,PS
364,91.79940506,22.27712534,Electric_Pole,PW
365,91.77814383,22.276636,Electric_Pole,PW
366,91.77413397,22.27835469,Electric_Pole,PS
367,91.77717133,22.27703654,Electric_Pole,PW
368,91.77482683,22.27698706,Electric_Pole,PW
369,91.77747876,22.27850439,Electric_Pole,PS
370,91.77807656,22.2789655,Electric_Pole,PW
371,91.77834697,22.27420534,Electric_Pole,PW
372,91.83099826,22.25875975,Electric_Pole,PS
373,91.83100938,22.26124509,Electric_Pole,PW
374,91.78752846,22.25215736,Electric_Pole,PW
375,91.79342764,22.23613786,Electric_Pole,PS
376,91.78709763,22.26770856,Electric_Pole,PW
377,91.81025714,22.27073715,Electric_Pole,PW
378,91.78757116,22.27133479,Electric_Pole,PS
379,91.80635957,22.27244049,Electric_Pole,PW
380,91.78730717,22.2721829,Electric_Pole,PW
381,91.82883956,22.25707058,Electric_Pole,PS
382,91.83109609,22.25694684,Electric_Pole,PW
383,91.82882968,22.25887659,Electric_Pole,PW
384,91.82862045,22.26114379,Electric_Pole,PS
385,91.78013694,22.26870223,Electric_Pole,PW
386,91.77843183,22.26857757,Electric_Pole,PW
387,91.77981154,22.2641707,Electric_Pole,PS
388,91.77924367,22.26674993,Electric_Pole,PW
389,91.780524,22.2686924,Electric_Pole,PW
390,91.78349128,22.26764702,Electric_Pole,PS
391,91.78403814,22.26863206,Electric_Pole,PW
392,91.79593059,22.2603376,Electric_Pole,PW
393,91.80525884,22.25800481,Electric_Pole,PS
394,91.80538294,22.25758779,Electric_Pole,PW
395,91.80752462,22.26137506,Electric_Pole,PW
396,91.80754049,22.26031231,Electric_Pole,PS
397,91.80948761,22.2598076,Electric_Pole,PW
398,91.80909613,22.25765294,Electric_Pole,PW
399,91.80771523,22.2575884,Electric_Pole,PS
400,91.81042897,22.26485877,Electric_Pole,PW
401,91.80584875,22.25446496,Electric_Pole,PW
402,91.80751682,22.25451303,Electric_Pole,PS
403,91.80422589,22.25944718,Electric_Pole,PW
404,91.80049973,22.25950769,Electric_Pole,PW
405,91.79817862,22.25991652,Electric_Pole,PS
406,91.79852195,22.26453884,Electric_Pole,PW
407,91.80327153,22.25450922,Electric_Pole,PW
408,91.7901089,22.26426961,Electric_Pole,PS
409,91.79274303,22.25704664,Electric_Pole,PW
410,91.79170996,22.25979798,Electric_Pole,PW
411,91.81061127,22.24262667,Electric_Pole,PS
412,91.80960825,22.23984131,Electric_Pole,PW
413,91.80826092,22.24129707,Electric_Pole,PW
414,91.80833662,22.25203454,Electric_Pole,PS
415,91.80545103,22.25157213,Electric_Pole,PW
416,91.80979476,22.252917,Electric_Pole,PW
417,91.80984665,22.25416358,Electric_Pole,PS
418,91.80419004,22.23806169,Electric_Pole,PW
419,91.8035536,22.25341579,Electric_Pole,PW
420,91.80255822,22.25127962,Electric_Pole,PS
421,91.80073352,22.25095809,Electric_Pole,PW
422,91.80255997,22.25318121,Electric_Pole,PW
423,91.79781071,22.25395411,Electric_Pole,PS
424,91.80111842,22.25388106,Electric_Pole,PW
425,91.79092332,22.25150723,Electric_Pole,PW
426,91.79221228,22.24253809,Electric_Pole,PS
427,91.79425481,22.23911461,Electric_Pole,PW
428,91.79713285,22.24308998,Electric_Pole,PW
429,91.79919956,22.24401431,Electric_Pole,PS
430,91.80099333,22.24289798,Electric_Pole,PW
431,91.79647327,22.24571134,Electric_Pole,PW
432,91.79414151,22.25277628,Electric_Pole,PS
433,91.79521381,22.2495375,Electric_Pole,PW
434,91.81157179,22.25874021,Electric_Pole,PW
435,91.8117357,22.23794681,Electric_Pole,PS
436,91.81174255,22.24088353,Electric_Pole,PW
437,91.81200684,22.23983519,Electric_Pole,PW
438,91.8209268,22.24803146,Electric_Pole,PS
439,91.81879866,22.24788035,Electric_Pole,PW
440,91.81805731,22.250234,Electric_Pole,PW
441,91.82065918,22.25207248,Electric_Pole,PS
442,91.81678567,22.24006615,Electric_Pole,PW
443,91.81812297,22.24049706,Electric_Pole,PW
444,91.81914395,22.24622591,Electric_Pole,PS
445,91.82004674,22.24256936,Electric_Pole,PW
446,91.82298182,22.24625392,Electric_Pole,PW
447,91.82454954,22.24828432,Electric_Pole,PS
448,91.82670391,22.25130896,Electric_Pole,PW
449,91.8070213,22.23257087,Electric_Pole,PW
450,91.79639634,22.23426459,Electric_Pole,PS
451,91.79879358,22.23273031,Electric_Pole,PW
452,91.80374105,22.2304594,Electric_Pole,PW
453,91.78940428,22.25136334,Electric_Pole,PS
454,91.79647178,22.23450709,Electric_Pole,PW
455,91.79870086,22.23624756,Electric_Pole,PW
456,91.79774204,22.23721068,Electric_Pole,PS
457,91.79246772,22.2347938,Electric_Pole,PW
458,91.79237488,22.23489551,Electric_Pole,PW
459,91.78042891,22.26649714,Electric_Pole,PS
460,91.78671061,22.25836317,Electric_Pole,PW
461,91.78367018,22.25806979,Electric_Pole,PW
462,91.78742855,22.24700716,Electric_Pole,PS
463,91.82354081,22.26754238,Electric_Pole,PW
464,91.8203398,22.26659998,Electric_Pole,PW
465,91.78600749,22.24871866,Electric_Pole,PS
466,91.78833779,22.26916103,Electric_Pole,PW
467,91.81577061,22.26740267,Electric_Pole,PW
468,91.81431994,22.26946885,Electric_Pole,PS
469,91.81437109,22.23758391,Electric_Pole,PW
470,91.82813432,22.26455893,Electric_Pole,PW
471,91.82757907,22.25263827,Electric_Pole,PS
472,91.81158595,22.27025836,Electric_Pole,PW
473,91.8109618,22.33886166,Electric_Pole,PW
474,91.81256279,22.33775691,Electric_Pole,PS
475,91.81272618,22.33848115,Electric_Pole,PW
476,91.80405978,22.32836902,Electric_Pole,PW
477,91.81230096,22.33021822,Electric_Pole,PS
478,91.81242913,22.33497468,Electric_Pole,PW
479,91.81227026,22.33269657,Electric_Pole,PW
480,91.80929272,22.33192553,Electric_Pole,PS
481,91.80761532,22.33072985,Electric_Pole,PW
482,91.80803399,22.33243438,Electric_Pole,PW
483,91.81272228,22.32567922,Electric_Pole,PS
484,91.81225558,22.32724344,Electric_Pole,PW
485,91.81234791,22.32323016,Electric_Pole,PW
486,91.81230363,22.32858467,Electric_Pole,PS
487,91.81189353,22.31936694,Electric_Pole,PW
488,91.80436504,22.31456456,Electric_Pole,PW
489,91.80737889,22.31596313,Electric_Pole,PS
490,91.80154589,22.3174116,Electric_Pole,PW
491,91.8307924,22.32837112,Electric_Pole,PW
492,91.83106773,22.32947816,Electric_Pole,PS
493,91.83081719,22.32544592,Electric_Pole,PW
494,91.83472028,22.32958057,Electric_Pole,PW
495,91.83183819,22.33158868,Electric_Pole,PS
496,91.78673897,22.34779494,Electric_Pole,PW
497,91.78587749,22.34958383,Electric_Pole,PW
498,91.7867458,22.33265404,Electric_Pole,PS
499,91.78795439,22.34401226,Electric_Pole,PW
500,91.78732264,22.34611316,Electric_Pole,PW
501,91.78697977,22.34797833,Electric_Pole,PS
502,91.78632803,22.35069954,Electric_Pole,PW
503,91.78763206,22.34229975,Electric_Pole,PW
504,91.78818659,22.34031774,Electric_Pole,PS
505,91.7884888,22.3412341,Electric_Pole,PW
506,91.78775283,22.34106194,Electric_Pole,PW
507,91.78846209,22.338358,Electric_Pole,PS
508,91.78862651,22.33880472,Electric_Pole,PW
509,91.78866405,22.33588785,Electric_Pole,PW
510,91.78841822,22.33411327,Electric_Pole,PS
511,91.78257281,22.35689565,Electric_Pole,PW
512,91.78673821,22.3570183,Electric_Pole,PW
513,91.7809097,22.35640351,Electric_Pole,PS
514,91.77415427,22.35574808,Electric_Pole,PW
515,91.77336714,22.35567218,Electric_Pole,PW
516,91.77598645,22.35601903,Electric_Pole,PS
517,91.8413525,22.33186108,Electric_Pole,PW
518,91.83991257,22.33182132,Electric_Pole,PW
519,91.8398118,22.33062676,Electric_Pole,PS
520,91.83790305,22.3303858,Electric_Pole,PW
521,91.83742583,22.32700214,Electric_Pole,PW
522,91.842896,22.33047743,Electric_Pole,PS
523,91.84344052,22.32940779,Electric_Pole,PW
524,91.83675659,22.32942173,Electric_Pole,PW
525,91.81510908,22.34225318,Electric_Pole,PS
526,91.81168148,22.34290393,Electric_Pole,PW
527,91.81544489,22.34366328,Electric_Pole,PW
528,91.81364987,22.34101545,Electric_Pole,PS
529,91.80410495,22.34268563,Electric_Pole,PW
530,91.80132547,22.34293697,Electric_Pole,PW
531,91.8066421,22.34126553,Electric_Pole,PS
532,91.8162956,22.33724475,Electric_Pole,PW
533,91.82768591,22.32868738,Electric_Pole,PW
534,91.82660625,22.3296987,Electric_Pole,PS
535,91.8264151,22.33410619,Electric_Pole,PW
536,91.82596014,22.33219306,Electric_Pole,PW
537,91.82203055,22.32902785,Electric_Pole,PS
538,91.82383844,22.32989804,Electric_Pole,PW
539,91.82189072,22.33095557,Electric_Pole,PW
540,91.82241566,22.33225105,Electric_Pole,PS
541,91.82350802,22.33231505,Electric_Pole,PW
542,91.82099065,22.33254907,Electric_Pole,PW
543,91.81672395,22.33317652,Electric_Pole,PS
544,91.8182279,22.33359884,Electric_Pole,PW
545,91.81797074,22.33616917,Electric_Pole,PW
546,91.81203805,22.32122565,Electric_Pole,PS
547,91.8177987,22.32157649,Electric_Pole,PW
548,91.81453859,22.32091211,Electric_Pole,PW
549,91.8239105,22.32708727,Electric_Pole,PS
550,91.8268031,22.32531328,Electric_Pole,PW
551,91.82158562,22.32650485,Electric_Pole,PW
552,91.81953514,22.32438361,Electric_Pole,PS
553,91.82373673,22.32440081,Electric_Pole,PW
554,91.81820171,22.32342676,Electric_Pole,PW
555,91.82054528,22.32339675,Electric_Pole,PS
556,91.80715669,22.34895616,Electric_Pole,PW
557,91.81726004,22.34408958,Electric_Pole,PW
558,91.81723965,22.34452444,Electric_Pole,PS
559,91.81897221,22.34757361,Electric_Pole,PW
560,91.81755484,22.34747708,Electric_Pole,PW
561,91.79075682,22.34460504,Electric_Pole,PS
562,91.8010333,22.34499355,Electric_Pole,PW
563,91.79859489,22.34682403,Electric_Pole,PW
564,91.79286765,22.3447723,Electric_Pole,PS
565,91.79571835,22.34468675,Electric_Pole,PW
566,91.81196269,22.34499302,Electric_Pole,PW
567,91.79573676,22.34998281,Electric_Pole,PS
568,91.7963183,22.34770346,Electric_Pole,PW
569,91.79788704,22.34762635,Electric_Pole,PW
570,91.80823734,22.34816747,Electric_Pole,PS
571,91.81173815,22.34406435,Electric_Pole,PW
572,91.80184096,22.34416451,Electric_Pole,PW
573,91.80068501,22.35376208,Electric_Pole,PS
574,91.79371005,22.35157575,Electric_Pole,PW
575,91.80269821,22.35235409,Electric_Pole,PW
576,91.79389273,22.35161662,Electric_Pole,PS
577,91.79529453,22.35625975,Electric_Pole,PW
578,91.79580712,22.35608357,Electric_Pole,PW
579,91.79469805,22.3564363,Electric_Pole,PS
580,91.78897617,22.35517249,Electric_Pole,PW
581,91.79178093,22.35337399,Electric_Pole,PW
582,91.8287866,22.3317082,Electric_Pole,PS
583,91.8102717,22.32745586,Electric_Pole,PW
584,91.80948979,22.32758398,Electric_Pole,PW
585,91.80795561,22.32774532,Electric_Pole,PS
586,91.82157208,22.34955053,Electric_Pole,PW
587,91.81976182,22.34802595,Electric_Pole,PW
588,91.81873991,22.34884201,Electric_Pole,PS
589,91.81951571,22.34958802,Electric_Pole,PW
590,91.84702669,22.37523708,Electric_Pole,PW
591,91.84696061,22.37365134,Electric_Pole,PS
592,91.8451445,22.37220896,Electric_Pole,PW
593,91.8471069,22.37420352,Electric_Pole,PW
594,91.83978098,22.37196578,Electric_Pole,PS
595,91.83934035,22.37395892,Electric_Pole,PW
596,91.83938288,22.37508426,Electric_Pole,PW
597,91.83356218,22.38198328,Electric_Pole,PS
598,91.84501441,22.37091205,Electric_Pole,PW
599,91.84328704,22.36311736,Electric_Pole,PW
600,91.84532386,22.36392349,Electric_Pole,PS
601,91.83666023,22.35316615,Electric_Pole,PW
602,91.83731403,22.35513816,Electric_Pole,PW
603,91.83645254,22.35249848,Electric_Pole,PS
604,91.84086089,22.34335476,Electric_Pole,PW